Calories,Calories from Fat,Total Fat (g),Sodium (g),Potassium (g),Dietary Fiber (g),Sugars (g),Protein (g),Vitamin A (%DV),Vitamin C (%DV),Calcium (%DV),Iron (%DV),Cholesterol (mg),pc1,pc2,Food,Type
0.8644890184526963,0.3254354955727896,0.21140562420518194,0.5099949218936893,1.54966208618508,-1.0020886193125809,-0.7578955270179624,1.0124765157603761,-0.053980433358632084,-0.5980639029022903,2.248287613248731,3.8678972017936575,1.6594174876678518,3.660896933996809,-2.4907013299988203,Clams,Seafood
0.40292376571208827,-0.24997219225156297,-0.04650923732514002,0.14255763564744858,1.4660447599955269,-1.0020886193125809,-0.7578955270179624,1.3375347655571284,-0.3934450142737411,-0.5605117690093003,-0.30721942541287,-0.2740265729170428,0.8109307588519342,1.7853397776466975,0.1374993084916085,Cod,Seafood
0.6337063920823923,0.3254354955727896,0.21140562420518194,0.5712344696013961,0.8807234766686545,-1.0020886193125809,-0.7578955270179624,1.2291820156248776,-0.3934450142737411,-0.5980639029022903,-0.30721942541287,-0.5698782711106642,0.895779431733526,2.056281525054718,0.37071686563053524,Flounder/Sole,Seafood
0.6337063920823923,0.037731651660613326,-0.04650923732514002,0.3875158264782757,0.4626368457208885,-1.0020886193125809,-0.7578955270179624,1.4458875154893793,-0.3255520980907193,-0.5980639029022903,-0.30721942541287,0.31767682347020004,1.3200227961414848,2.1536022023340093,-0.17515289822233343,Haddock,Seafood
1.0952716448230004,0.3254354955727896,0.4693204857355039,0.08131808793974181,1.8005140647537397,-1.0020886193125809,-0.7578955270179624,1.6625930153538808,-0.2576591819076975,-0.5980639029022903,-0.30721942541287,0.31767682347020004,0.47153606732556724,2.5160761679048904,0.6222086706813905,Halibut,Seafood
0.1721411393417842,-0.5376760361637393,-0.30442409885546196,3.2657745687404947,0.1281675409626757,-1.0020886193125809,-0.7578955270179624,1.0124765157603761,-0.3255520980907193,-0.5980639029022903,1.3964519336948638,-0.2740265729170428,1.0654767774967095,2.350379231025845,-2.5046782129791056,Lobster,Seafood
0.8644890184526963,0.6131393394849659,0.4693204857355039,0.5099949218936893,0.04455021477312251,-1.0020886193125809,-0.7578955270179624,1.4458875154893793,-0.3934450142737411,-0.5605117690093003,3.1001232928025977,0.021825125276578622,0.6412334130887507,2.6883587163000975,-1.2451435931184287,Ocean Perch,Seafood
0.1721411393417842,-0.24997219225156297,-0.04650923732514002,0.20379718335515537,0.4626368457208885,-1.0020886193125809,-0.7578955270179624,0.9041237658281254,-0.3255520980907193,-0.5980639029022903,0.5446162541409969,-0.2740265729170428,-0.037555969963983214,1.1373973391379684,-0.32755752342009414,Orange Roughy,Seafood
0.6337063920823923,1.4762508712214948,1.5009799318567918,3.0208163779096675,-0.5407710685537498,-1.0020886193125809,-0.7578955270179624,0.25400726623462067,-0.3934450142737411,-0.48540750122332055,1.3964519336948638,6.086784938245819,1.6594174876678518,4.651615618924357,-3.272647538129903,Oysters,Seafood
0.40292376571208827,0.037731651660613326,-0.04650923732514002,0.6937135650168096,0.7134888242895481,-1.0020886193125809,-0.7578955270179624,1.3375347655571284,-0.3255520980907193,-0.5980639029022903,-1.159055104966737,-0.2740265729170428,1.6594174876678518,2.0717770150225947,0.22310616504620107,Pollock,Seafood
1.5568368975636084,2.339362402958024,2.5326393779780796,-0.2248796505987921,0.7134888242895481,-1.0020886193125809,-0.7578955270179624,1.3375347655571284,-0.2576591819076975,-0.5229596351163105,2.248287613248731,-0.2740265729170428,0.895779431733526,3.9045317222501637,1.2081339907287763,Rainbow Trout,Seafood
0.8644890184526963,0.3254354955727896,0.4693204857355039,0.20379718335515537,1.2988101076164205,-1.0020886193125809,-0.7578955270179624,1.4458875154893793,-0.2576591819076975,-0.5980639029022903,-0.30721942541287,-0.2740265729170428,0.47153606732556724,2.1669263308378404,0.6743674757237592,Rockfish,Seafood
2.9415326557854327,4.640993154255434,4.595958270220655,0.020078540232035022,1.2151927814268673,-1.0020886193125809,-0.7578955270179624,1.7709457652861316,-0.2576591819076975,-0.5229596351163105,-0.30721942541287,-0.2740265729170428,1.3200227961414848,5.880581641320419,4.347664606475499,Salmon,Seafood
1.3260542711933045,1.763954715133671,1.5009799318567918,0.14255763564744858,1.131575455237314,-1.0020886193125809,-0.7578955270179624,1.55424026542163,-0.3255520980907193,-0.5980639029022903,-0.30721942541287,0.021825125276578622,1.3200227961414848,3.4764216374534054,1.5138782956355639,Salmon,Seafood
1.5568368975636084,0.037731651660613326,-0.04650923732514002,3.143295473325081,1.2151927814268673,-1.0020886193125809,-0.7578955270179624,2.096004015082884,-0.3255520980907193,-0.5980639029022903,0.5446162541409969,1.501083616244686,1.235174123259893,3.975746478105086,-1.9068971305770128,Scallops,Seafood
0.6337063920823923,0.037731651660613326,0.21140562420518194,2.285941805417186,-0.5407710685537498,-1.0020886193125809,-0.7578955270179624,1.4458875154893793,-0.2576591819076975,-0.5229596351163105,1.3964519336948638,0.9093802198574429,4.204877674115604,3.9967113126786735,-2.516177364016365,Shrimp,Seafood
1.0952716448230004,2.339362402958024,2.5326393779780796,0.5712344696013961,0.21178486715222888,-1.0020886193125809,-0.7578955270179624,0.9041237658281254,-0.3255520980907193,-0.5605117690093003,-1.159055104966737,0.31767682347020004,0.47153606732556724,3.1858131186967733,2.2245100055736198,Swordfish,Seafood
0.8644890184526963,0.6131393394849659,0.7272353472658258,-0.2861191983064989,0.6298714980999949,-1.0020886193125809,-0.7578955270179624,1.55424026542163,-0.3934450142737411,-0.5605117690093003,-1.159055104966737,-0.2740265729170428,1.4897201419046682,2.37085758722002,1.314561368922082,Tilapia,Seafood
1.3260542711933045,0.3254354955727896,0.21140562420518194,-0.16364010289108533,1.6332794123746333,-1.0020886193125809,-0.7578955270179624,1.987651265150633,-0.3255520980907193,-0.5605117690093003,-0.30721942541287,0.021825125276578622,0.8109307588519342,2.6006054926987474,0.7429794544603037,Tuna,Seafood
